Customer,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Total Claim Amount,State_California,State_Nevada,State_Oregon,State_Washington,Response_Yes,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Gender_M,Marital Status_Married,Marital Status_Single,Policy Type_Personal Auto,Policy Type_Special Auto,Policy_Corporate L2,Policy_Corporate L3,Policy_Personal L1,Policy_Personal L2,Policy_Personal L3,Policy_Special L1,Policy_Special L2,Policy_Special L3,Renew Offer Type_Offer2,Renew Offer Type_Offer3,Renew Offer Type_Offer4,Sales Channel_Branch,Sales Channel_Call Center,Sales Channel_Web,Vehicle Class_SUV,Vehicle Class_Sports Car,Vehicle Class_Two-Door Car,Number of Open Complaints_1,Number of Open Complaints_2,Number of Open Complaints_3,Number of Open Complaints_4,Number of Open Complaints_5,Number of Policies_2,Number of Policies_3,Number of Policies_4,Number of Policies_5,Number of Policies_6,Number of Policies_7,Number of Policies_8,Number of Policies_9
BU79786,-1.0653561672797949,0.5834234796511081,-0.7770854268006944,1.6973826726786931,-1.5428097311725888,0.028143963722717567,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AI49188,2.184070885818059,0.335939231868314,1.0200673496338215,0.2996964512986166,-0.3585065444198467,0.9354511733716976,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
WW63253,0.501707570194539,-1.2717688155039413,0.9279056687910258,0.2996964512986166,0.6104687901960333,0.7526977379941373,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HB64268,-1.0492522679777327,0.17337831195130882,-0.592762065115103,-0.2993119292928447,-0.14317869228298447,-1.2039017831903118,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC83172,0.6976364850409627,0.8019296198275246,-0.7770854268006944,-0.09964246909569092,1.6512200755242006,-1.0977577561502065,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
XZ87318,-0.22526757512462828,0.5529618511775098,-0.86924710764349,-1.4973286904757674,-1.2557059283234393,-0.28756440423983176,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CF85061,0.3637689309318203,-1.2717688155039413,0.6975014666840366,-1.4973286904757674,0.7181327162644643,-0.080643674609492,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BQ94931,0.4189999674700421,-0.3219198549181062,0.3288547433128538,0.19986172120003973,-1.4710337804603013,0.23150364649531374,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SX51350,-0.43129748141549146,-1.2717688155039413,-0.86924710764349,0.7988701017915011,-1.5428097311725888,0.515551944343084,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VQ65197,0.6786671895861216,-1.2717688155039413,1.1122290304766171,1.1982090221858086,1.4000042480311947,0.7433013566277916,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DP39365,0.8717600374693504,1.2675573693525257,1.1122290304766171,-0.5988161195885754,1.2205643712504761,0.46375761751221034,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
SJ95423,0.8782505805765294,2.019834317554947,1.1122290304766171,0.7988701017915011,-0.8250502240497148,0.7433013566277916,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
IL66569,-0.2241335945456512,1.4872173590923363,-0.7310045863792964,0.5992006415943473,-1.3633698543918702,-0.35978927678647066,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BW63560,0.4430599594211489,-0.4608103752203456,-1.0074896289076836,-0.2993119292928447,0.07214915985387772,-1.6794316080865765,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FV94802,-1.1284745090572204,-0.44597516654813874,-0.86924710764349,-0.09964246909569092,-1.4710337804603013,0.37493215523269946,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OE15005,-0.6860640170332,-0.32050226831165085,0.6975014666840366,-0.2993119292928447,0.39514093805917105,1.3398551365037088,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WC83389,-0.11953045798479855,0.4144339693094799,-0.6388429055365008,-0.5988161195885754,-1.6863616325971635,-0.3505867421348091,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FL50705,0.6675681930110753,0.9086771880066491,0.6975014666840366,-0.3991466593914216,-0.9686021254742896,0.5275387555159635,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZK25313,-1.0305211366605582,0.6320499969655641,-0.5466812246937052,1.5975479425801162,-0.9686021254742896,-0.11974904781952111,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SV62436,-0.9760403525905812,-0.8171850546571385,-0.3162770225867159,-0.6986508496871523,0.03626118449773403,0.00011906390927231396,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TZ98966,-1.1659237504403683,-1.2717688155039413,-0.592762065115103,-1.0979897700814598,-0.14317869228298447,0.8750402222247876,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HM55802,-1.1845664262210267,-0.6826461955654131,-1.1457321501718771,1.4977132124815393,1.5435561494557695,0.2997893432312559,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS42516,-0.09008736960483921,1.943878049153248,-0.6388429055365008,0.6990353716929242,-1.6863616325971635,0.04998922286013367,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
US89481,-0.6857011715827656,-1.2717688155039413,1.1583098708980148,0.00019226100288596303,-0.03551476621455337,2.097811019163158,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HO30839,-0.23617464553747583,-0.9252513080515703,2.4485734026971544,1.79721740277727,0.5745808148398895,0.6845557481406438,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
